group,sample_d,theta,phi,fbar,ratio,rho,sample_theta,sample_rho
boot_140,0.0144107308443,0.0376924149551,0.163021892107,1012.20518332,4.32505829889,165.011604186,8.73316207999e-05,0.382324424198
boot_141,0.014260417819,0.0353600016827,0.135488354893,759.040913039,3.83168406236,102.841204604,0.000138664437799,0.403292339942
boot_142,0.0143908918915,0.0354099241131,0.151184377804,754.532782254,4.26954820126,114.073569218,0.000126154480746,0.40640843639
boot_143,0.0143217414038,0.0368283727285,0.150856624989,1000.8302017,4.09620664211,150.981866415,9.48573609792e-05,0.388877931409
boot_144,0.0142140706545,0.0354659436195,0.136110386929,1322.10210717,3.83777711907,179.951829367,7.89881975889e-05,0.400780839417
boot_145,0.0141499255033,0.0342088651266,0.13240639582,749.527844244,3.8705287454,99.2422804231,0.000142579608641,0.413633292159
boot_146,0.0142991314694,0.0356968503571,0.134466304848,1291.29261626,3.76689549647,173.635346587,8.23515012956e-05,0.400571236016
boot_147,0.0143736460694,0.0340761323099,0.129932260221,1043.27967898,3.81299905281,135.555686733,0.000106034991344,0.421809785767
boot_148,0.0144862772268,0.0370111464316,0.157620739611,1093.71694755,4.25873702406,172.392474198,8.40307982944e-05,0.391403094027
boot_149,0.0141281184046,0.0343558487588,0.126818152489,792.180025845,3.6913118747,100.462807316,0.000140630336559,0.411228914871
boot_15,0.014297312106,0.0355604655882,0.120816116867,984.294534305,3.39748411246,118.918643489,0.000120227675717,0.402056381139
boot_150,0.0144872426564,0.0363761642602,0.143396214168,966.026705435,3.94203778997,138.524572344,0.000104582475233,0.398261964972
boot_151,0.0142525556559,0.0343363680348,0.13989751778,1109.35415065,4.07432485689,155.195892015,9.18359079665e-05,0.415086291055
boot_152,0.0143513645091,0.0353338853409,0.14431544092,890.960780827,4.08433546234,128.579397928,0.000111614805641,0.406164348208
boot_153,0.0143400194851,0.0358357951714,0.156359732259,973.94903202,4.36322764741,152.286409881,9.41648010241e-05,0.400159098367
boot_154,0.0142656088804,0.0357376811226,0.146168744274,885.553534229,4.09004556766,129.440248086,0.000110209993348,0.399175560146
boot_155,0.0144800067236,0.0372283744298,0.157317418428,826.523892407,4.22573966331,130.026605023,0.000111361876449,0.388950818977
boot_156,0.0144580108112,0.0356071655542,0.13446535187,722.147572351,3.77635652198,97.1038274181,0.000148892285666,0.40604217118
boot_157,0.0144646612598,0.0355601819053,0.127754261044,848.927811708,3.59262113406,108.454145264,0.000133371216237,0.406765671176
boot_158,0.0143733341285,0.0358689762816,0.138735840356,953.993794595,3.86785056999,132.353130787,0.000108598368947,0.40071771259
boot_159,0.0143862215251,0.0359717765421,0.135163492436,1150.86488404,3.75748726999,155.554917048,9.24832322762e-05,0.399930804314
boot_16,0.014391672516,0.0363132667209,0.150162594813,1133.62803178,4.1351992914,170.228526804,8.45432477515e-05,0.3963199628
boot_160,0.0143456389492,0.0341153590229,0.127748079993,950.903711485,3.74459139964,121.4761234,0.000118094309792,0.420503824673
boot_161,0.0142451623047,0.0341640169568,0.13784894377,1088.24232812,4.03491615006,150.013055497,9.49594837428e-05,0.416963916236
